,case,event,time:timestamp,watchingtv,role,case:creator
0,Start,start,2011-12-03 01:47:02+01:00,Start,62,Fluxicon Disco
1,Start,complete,2011-12-03 01:47:02+01:00,Start,62,Fluxicon Disco
2,sleeping,start,2011-12-03 01:47:02+01:00,sleeping,62,Fluxicon Disco
3,sleeping,complete,2011-12-03 11:56:20+01:00,sleeping,62,Fluxicon Disco
4,toilet,start,2011-12-03 11:59:15+01:00,toilet,62,Fluxicon Disco
5,washing,start,2011-12-03 11:59:42+01:00,washing,62,Fluxicon Disco
6,toilet,complete,2011-12-03 11:59:45+01:00,toilet,62,Fluxicon Disco
7,washing,complete,2011-12-03 12:01:34+01:00,washing,62,Fluxicon Disco
8,shower,start,2011-12-03 12:03:36+01:00,shower,62,Fluxicon Disco
9,shower,complete,2011-12-03 12:08:55+01:00,shower,62,Fluxicon Disco
10,prepareBreakfast,start,2011-12-03 12:10:35+01:00,prepareBreakfast,62,Fluxicon Disco
11,prepareBreakfast,complete,2011-12-03 12:13:58+01:00,prepareBreakfast,62,Fluxicon Disco
12,eatingBreakfast,start,2011-12-03 12:14:05+01:00,eatingBreakfast,62,Fluxicon Disco
13,watchingtv,start,2011-12-03 12:21:30+01:00,watchingtv,62,Fluxicon Disco
14,eatingBreakfast,complete,2011-12-03 12:21:55+01:00,eatingBreakfast,62,Fluxicon Disco
15,watchingtv,complete,2011-12-03 13:28:36+01:00,watchingtv,62,Fluxicon Disco
16,washing,start,2011-12-03 13:29:22+01:00,washing,62,Fluxicon Disco
17,washing,complete,2011-12-03 13:29:32+01:00,washing,62,Fluxicon Disco
18,watchingtv,start,2011-12-03 13:29:48+01:00,watchingtv,62,Fluxicon Disco
19,watchingtv,complete,2011-12-03 14:01:20+01:00,watchingtv,62,Fluxicon Disco
20,washing,start,2011-12-03 14:11:10+01:00,washing,62,Fluxicon Disco
21,washing,complete,2011-12-03 14:14:43+01:00,washing,62,Fluxicon Disco
22,outdoors,start,2011-12-03 14:18:11+01:00,outdoors,62,Fluxicon Disco
23,outdoors,complete,2011-12-03 17:48:37+01:00,outdoors,62,Fluxicon Disco
24,watchingtv,start,2011-12-03 17:50:14+01:00,watchingtv,62,Fluxicon Disco
25,watchingtv,complete,2011-12-03 23:53:24+01:00,watchingtv,62,Fluxicon Disco
26,toilet,start,2011-12-03 23:54:51+01:00,toilet,62,Fluxicon Disco
27,watchingtv,start,2011-12-03 23:55:18+01:00,watchingtv,62,Fluxicon Disco
28,toilet,complete,2011-12-03 23:55:21+01:00,toilet,62,Fluxicon Disco
29,watchingtv,complete,2011-12-04 03:16:13+01:00,watchingtv,62,Fluxicon Disco
30,End,start,2011-12-04 03:16:13+01:00,End,62,Fluxicon Disco
31,End,complete,2011-12-04 03:16:13+01:00,End,62,Fluxicon Disco
32,Start,start,2011-12-04 03:19:17+01:00,Start,72,Fluxicon Disco
33,Start,complete,2011-12-04 03:19:17+01:00,Start,72,Fluxicon Disco
34,sleeping,start,2011-12-04 03:19:17+01:00,sleeping,72,Fluxicon Disco
35,sleeping,complete,2011-12-04 12:37:49+01:00,sleeping,72,Fluxicon Disco
36,toilet,start,2011-12-04 12:45:44+01:00,toilet,72,Fluxicon Disco
37,toilet,complete,2011-12-04 12:46:15+01:00,toilet,72,Fluxicon Disco
38,washing,start,2011-12-04 12:46:20+01:00,washing,72,Fluxicon Disco
39,washing,complete,2011-12-04 12:47:28+01:00,washing,72,Fluxicon Disco
40,shower,start,2011-12-04 12:50:56+01:00,shower,72,Fluxicon Disco
41,shower,complete,2011-12-04 12:54:55+01:00,shower,72,Fluxicon Disco
42,prepareBreakfast,start,2011-12-04 12:56:43+01:00,prepareBreakfast,72,Fluxicon Disco
43,prepareBreakfast,complete,2011-12-04 12:58:37+01:00,prepareBreakfast,72,Fluxicon Disco
44,eatingBreakfast,start,2011-12-04 12:58:42+01:00,eatingBreakfast,72,Fluxicon Disco
45,eatingBreakfast,complete,2011-12-04 13:00:05+01:00,eatingBreakfast,72,Fluxicon Disco
46,watchingtv,start,2011-12-04 13:00:53+01:00,watchingtv,72,Fluxicon Disco
47,watchingtv,complete,2011-12-04 13:58:10+01:00,watchingtv,72,Fluxicon Disco
48,toilet,start,2011-12-04 14:03:42+01:00,toilet,72,Fluxicon Disco
49,toilet,complete,2011-12-04 14:04:13+01:00,toilet,72,Fluxicon Disco
50,outdoors,start,2011-12-04 14:11:50+01:00,outdoors,72,Fluxicon Disco
51,outdoors,complete,2011-12-04 16:31:01+01:00,outdoors,72,Fluxicon Disco
52,watchingtv,start,2011-12-04 16:34:00+01:00,watchingtv,72,Fluxicon Disco
53,watchingtv,complete,2011-12-04 17:25:39+01:00,watchingtv,72,Fluxicon Disco
54,snack,start,2011-12-04 17:27:03+01:00,snack,72,Fluxicon Disco
55,snack,complete,2011-12-04 17:27:08+01:00,snack,72,Fluxicon Disco
56,watchingtv,start,2011-12-04 17:27:16+01:00,watchingtv,72,Fluxicon Disco
57,watchingtv,complete,2011-12-04 17:43:56+01:00,watchingtv,72,Fluxicon Disco
58,washing,start,2011-12-04 17:45:15+01:00,washing,72,Fluxicon Disco
59,washing,complete,2011-12-04 17:45:19+01:00,washing,72,Fluxicon Disco
60,watchingtv,start,2011-12-04 18:08:28+01:00,watchingtv,72,Fluxicon Disco
61,watchingtv,complete,2011-12-04 18:57:52+01:00,watchingtv,72,Fluxicon Disco
62,toilet,start,2011-12-04 18:59:06+01:00,toilet,72,Fluxicon Disco
63,washing,start,2011-12-04 18:59:09+01:00,washing,72,Fluxicon Disco
64,washing,complete,2011-12-04 18:59:12+01:00,washing,72,Fluxicon Disco
65,toilet,complete,2011-12-04 18:59:33+01:00,toilet,72,Fluxicon Disco
66,snack,start,2011-12-04 18:59:53+01:00,snack,72,Fluxicon Disco
67,snack,complete,2011-12-04 18:59:59+01:00,snack,72,Fluxicon Disco
68,watchingtv,start,2011-12-04 19:00:04+01:00,watchingtv,72,Fluxicon Disco
69,watchingtv,complete,2011-12-04 22:20:59+01:00,watchingtv,72,Fluxicon Disco
70,toilet,start,2011-12-04 22:21:42+01:00,toilet,72,Fluxicon Disco
71,washing,start,2011-12-04 22:21:45+01:00,washing,72,Fluxicon Disco
72,washing,complete,2011-12-04 22:21:57+01:00,washing,72,Fluxicon Disco
73,toilet,complete,2011-12-04 22:22:10+01:00,toilet,72,Fluxicon Disco
74,watchingtv,start,2011-12-04 22:22:19+01:00,watchingtv,72,Fluxicon Disco
75,watchingtv,complete,2011-12-05 01:28:09+01:00,watchingtv,72,Fluxicon Disco
76,End,start,2011-12-05 01:28:09+01:00,End,72,Fluxicon Disco
77,End,complete,2011-12-05 01:28:09+01:00,End,72,Fluxicon Disco
78,Start,start,2011-12-10 00:16:31+01:00,Start,132,Fluxicon Disco
79,Start,complete,2011-12-10 00:16:31+01:00,Start,132,Fluxicon Disco
80,washing,start,2011-12-10 00:16:31+01:00,washing,132,Fluxicon Disco
81,washing,complete,2011-12-10 00:16:49+01:00,washing,132,Fluxicon Disco
82,watchingtv,start,2011-12-10 00:17:05+01:00,watchingtv,132,Fluxicon Disco
83,watchingtv,complete,2011-12-10 00:46:13+01:00,watchingtv,132,Fluxicon Disco
84,sleeping,start,2011-12-10 00:50:47+01:00,sleeping,132,Fluxicon Disco
85,sleeping,complete,2011-12-10 09:26:17+01:00,sleeping,132,Fluxicon Disco
86,toilet,start,2011-12-10 09:35:48+01:00,toilet,132,Fluxicon Disco
87,toilet,complete,2011-12-10 09:36:18+01:00,toilet,132,Fluxicon Disco
88,washing,start,2011-12-10 09:37:26+01:00,washing,132,Fluxicon Disco
89,washing,complete,2011-12-10 09:46:27+01:00,washing,132,Fluxicon Disco
90,shower,start,2011-12-10 09:47:44+01:00,shower,132,Fluxicon Disco
91,shower,complete,2011-12-10 09:52:42+01:00,shower,132,Fluxicon Disco
92,prepareBreakfast,start,2011-12-10 09:55:50+01:00,prepareBreakfast,132,Fluxicon Disco
93,prepareBreakfast,complete,2011-12-10 09:58:24+01:00,prepareBreakfast,132,Fluxicon Disco
94,eatingBreakfast,start,2011-12-10 09:59:05+01:00,eatingBreakfast,132,Fluxicon Disco
95,eatingBreakfast,complete,2011-12-10 10:03:15+01:00,eatingBreakfast,132,Fluxicon Disco
96,watchingtv,start,2011-12-10 10:03:20+01:00,watchingtv,132,Fluxicon Disco
97,watchingtv,complete,2011-12-10 12:34:09+01:00,watchingtv,132,Fluxicon Disco
98,washing,start,2011-12-10 12:52:54+01:00,washing,132,Fluxicon Disco
99,washing,complete,2011-12-10 12:53:39+01:00,washing,132,Fluxicon Disco
100,outdoors,start,2011-12-10 13:04:03+01:00,outdoors,132,Fluxicon Disco
101,outdoors,complete,2011-12-10 17:07:03+01:00,outdoors,132,Fluxicon Disco
102,watchingtv,start,2011-12-10 17:11:23+01:00,watchingtv,132,Fluxicon Disco
103,watchingtv,complete,2011-12-10 20:16:51+01:00,watchingtv,132,Fluxicon Disco
104,washing,start,2011-12-10 20:21:54+01:00,washing,132,Fluxicon Disco
105,washing,complete,2011-12-10 20:23:16+01:00,washing,132,Fluxicon Disco
106,outdoors,start,2011-12-10 20:25:40+01:00,outdoors,132,Fluxicon Disco
107,outdoors,complete,2011-12-11 00:56:05+01:00,outdoors,132,Fluxicon Disco
108,End,start,2011-12-11 00:56:05+01:00,End,132,Fluxicon Disco
109,End,complete,2011-12-11 00:56:05+01:00,End,132,Fluxicon Disco
110,Start,start,2011-12-11 01:01:41+01:00,Start,142,Fluxicon Disco
111,Start,complete,2011-12-11 01:01:41+01:00,Start,142,Fluxicon Disco
112,watchingtv,start,2011-12-11 01:01:41+01:00,watchingtv,142,Fluxicon Disco
113,watchingtv,complete,2011-12-11 02:26:08+01:00,watchingtv,142,Fluxicon Disco
114,sleeping,start,2011-12-11 02:31:15+01:00,sleeping,142,Fluxicon Disco
115,sleeping,complete,2011-12-11 11:57:34+01:00,sleeping,142,Fluxicon Disco
116,toilet,start,2011-12-11 12:01:27+01:00,toilet,142,Fluxicon Disco
117,toilet,complete,2011-12-11 12:01:59+01:00,toilet,142,Fluxicon Disco
118,washing,start,2011-12-11 12:02:25+01:00,washing,142,Fluxicon Disco
119,washing,complete,2011-12-11 12:02:39+01:00,washing,142,Fluxicon Disco
120,shower,start,2011-12-11 12:02:56+01:00,shower,142,Fluxicon Disco
121,shower,complete,2011-12-11 12:18:42+01:00,shower,142,Fluxicon Disco
122,prepareBreakfast,start,2011-12-11 12:21:57+01:00,prepareBreakfast,142,Fluxicon Disco
123,prepareBreakfast,complete,2011-12-11 12:25:12+01:00,prepareBreakfast,142,Fluxicon Disco
124,eatingBreakfast,start,2011-12-11 12:25:42+01:00,eatingBreakfast,142,Fluxicon Disco
125,eatingBreakfast,complete,2011-12-11 12:32:35+01:00,eatingBreakfast,142,Fluxicon Disco
126,watchingtv,start,2011-12-11 12:32:49+01:00,watchingtv,142,Fluxicon Disco
127,watchingtv,complete,2011-12-11 14:26:18+01:00,watchingtv,142,Fluxicon Disco
128,prepareLunch,start,2011-12-11 14:36:58+01:00,prepareLunch,142,Fluxicon Disco
129,prepareLunch,complete,2011-12-11 15:00:37+01:00,prepareLunch,142,Fluxicon Disco
130,eatingLunch,start,2011-12-11 15:01:58+01:00,eatingLunch,142,Fluxicon Disco
131,eatingLunch,complete,2011-12-11 15:28:37+01:00,eatingLunch,142,Fluxicon Disco
132,toilet,start,2011-12-11 15:29:03+01:00,toilet,142,Fluxicon Disco
133,toilet,complete,2011-12-11 15:30:14+01:00,toilet,142,Fluxicon Disco
134,washing,start,2011-12-11 15:41:34+01:00,washing,142,Fluxicon Disco
135,washing,complete,2011-12-11 15:43:30+01:00,washing,142,Fluxicon Disco
136,End,start,2011-12-11 15:43:30+01:00,End,142,Fluxicon Disco
137,End,complete,2011-12-11 15:43:30+01:00,End,142,Fluxicon Disco
138,Start,start,2012-11-17 02:26:35+01:00,Start,71,Fluxicon Disco
139,Start,complete,2012-11-17 02:26:35+01:00,Start,71,Fluxicon Disco
140,washing,start,2012-11-17 02:26:35+01:00,washing,71,Fluxicon Disco
141,washing,complete,2012-11-17 02:29:42+01:00,washing,71,Fluxicon Disco
142,toilet,start,2012-11-17 02:31:05+01:00,toilet,71,Fluxicon Disco
143,washing,start,2012-11-17 02:31:25+01:00,washing,71,Fluxicon Disco
144,toilet,complete,2012-11-17 02:32:00+01:00,toilet,71,Fluxicon Disco
145,washing,complete,2012-11-17 02:33:51+01:00,washing,71,Fluxicon Disco
146,sleeping,start,2012-11-17 02:34:31+01:00,sleeping,71,Fluxicon Disco
147,sleeping,complete,2012-11-17 09:46:36+01:00,sleeping,71,Fluxicon Disco
148,toilet,start,2012-11-17 09:52:17+01:00,toilet,71,Fluxicon Disco
149,toilet,complete,2012-11-17 09:55:58+01:00,toilet,71,Fluxicon Disco
150,prepareBreakfast,start,2012-11-17 09:57:25+01:00,prepareBreakfast,71,Fluxicon Disco
151,prepareBreakfast,complete,2012-11-17 10:00:56+01:00,prepareBreakfast,71,Fluxicon Disco
152,eatingBreakfast,start,2012-11-17 10:03:54+01:00,eatingBreakfast,71,Fluxicon Disco
153,eatingBreakfast,complete,2012-11-17 10:17:34+01:00,eatingBreakfast,71,Fluxicon Disco
154,shower,start,2012-11-17 10:18:06+01:00,shower,71,Fluxicon Disco
155,shower,complete,2012-11-17 10:21:07+01:00,shower,71,Fluxicon Disco
156,washing,start,2012-11-17 10:21:27+01:00,washing,71,Fluxicon Disco
157,washing,complete,2012-11-17 10:34:23+01:00,washing,71,Fluxicon Disco
158,grooming,start,2012-11-17 10:35:53+01:00,grooming,71,Fluxicon Disco
159,grooming,complete,2012-11-17 10:36:04+01:00,grooming,71,Fluxicon Disco
160,washing,start,2012-11-17 10:38:46+01:00,washing,71,Fluxicon Disco
161,washing,complete,2012-11-17 10:42:03+01:00,washing,71,Fluxicon Disco
162,grooming,start,2012-11-17 10:43:21+01:00,grooming,71,Fluxicon Disco
163,grooming,complete,2012-11-17 10:44:16+01:00,grooming,71,Fluxicon Disco
164,outdoors,start,2012-11-17 10:47:19+01:00,outdoors,71,Fluxicon Disco
165,outdoors,complete,2012-11-17 12:33:39+01:00,outdoors,71,Fluxicon Disco
166,washing,start,2012-11-17 12:35:58+01:00,washing,71,Fluxicon Disco
167,washing,complete,2012-11-17 12:43:48+01:00,washing,71,Fluxicon Disco
168,grooming,start,2012-11-17 12:44:01+01:00,grooming,71,Fluxicon Disco
169,grooming,complete,2012-11-17 12:44:52+01:00,grooming,71,Fluxicon Disco
170,watchingtv,start,2012-11-17 12:45:24+01:00,watchingtv,71,Fluxicon Disco
171,watchingtv,complete,2012-11-17 14:41:43+01:00,watchingtv,71,Fluxicon Disco
172,outdoors,start,2012-11-17 14:42:13+01:00,outdoors,71,Fluxicon Disco
173,outdoors,complete,2012-11-17 16:25:40+01:00,outdoors,71,Fluxicon Disco
174,toilet,start,2012-11-17 16:30:16+01:00,toilet,71,Fluxicon Disco
175,washing,start,2012-11-17 16:30:26+01:00,washing,71,Fluxicon Disco
176,washing,complete,2012-11-17 16:30:35+01:00,washing,71,Fluxicon Disco
177,toilet,start,2012-11-17 16:30:54+01:00,toilet,71,Fluxicon Disco
178,toilet,complete,2012-11-17 16:30:57+01:00,toilet,71,Fluxicon Disco
179,toilet,complete,2012-11-17 16:31:12+01:00,toilet,71,Fluxicon Disco
180,watchingtv,start,2012-11-17 16:32:01+01:00,watchingtv,71,Fluxicon Disco
181,watchingtv,complete,2012-11-17 20:25:55+01:00,watchingtv,71,Fluxicon Disco
182,snack,start,2012-11-17 20:26:26+01:00,snack,71,Fluxicon Disco
183,snack,complete,2012-11-17 20:43:49+01:00,snack,71,Fluxicon Disco
184,toilet,start,2012-11-17 20:44:35+01:00,toilet,71,Fluxicon Disco
185,toilet,complete,2012-11-17 20:45:44+01:00,toilet,71,Fluxicon Disco
186,washing,start,2012-11-17 20:46:00+01:00,washing,71,Fluxicon Disco
187,washing,complete,2012-11-17 20:46:28+01:00,washing,71,Fluxicon Disco
188,grooming,start,2012-11-17 20:46:41+01:00,grooming,71,Fluxicon Disco
189,grooming,complete,2012-11-17 20:53:52+01:00,grooming,71,Fluxicon Disco
190,washing,start,2012-11-17 20:54:16+01:00,washing,71,Fluxicon Disco
191,washing,complete,2012-11-17 20:55:17+01:00,washing,71,Fluxicon Disco
192,grooming,start,2012-11-17 20:56:04+01:00,grooming,71,Fluxicon Disco
193,grooming,complete,2012-11-17 21:18:59+01:00,grooming,71,Fluxicon Disco
194,outdoors,start,2012-11-17 21:19:07+01:00,outdoors,71,Fluxicon Disco
195,outdoors,complete,2012-11-18 00:35:14+01:00,outdoors,71,Fluxicon Disco
196,End,start,2012-11-18 00:35:14+01:00,End,71,Fluxicon Disco
197,End,complete,2012-11-18 00:35:14+01:00,End,71,Fluxicon Disco
198,Start,start,2012-11-18 00:39:21+01:00,Start,81,Fluxicon Disco
199,Start,complete,2012-11-18 00:39:21+01:00,Start,81,Fluxicon Disco
200,watchingtv,start,2012-11-18 00:39:21+01:00,watchingtv,81,Fluxicon Disco
201,watchingtv,complete,2012-11-18 01:34:09+01:00,watchingtv,81,Fluxicon Disco
202,sleeping,start,2012-11-18 01:39:12+01:00,sleeping,81,Fluxicon Disco
203,sleeping,complete,2012-11-18 08:59:44+01:00,sleeping,81,Fluxicon Disco
204,toilet,start,2012-11-18 09:05:11+01:00,toilet,81,Fluxicon Disco
205,toilet,complete,2012-11-18 09:06:13+01:00,toilet,81,Fluxicon Disco
206,prepareBreakfast,start,2012-11-18 09:07:25+01:00,prepareBreakfast,81,Fluxicon Disco
207,prepareBreakfast,complete,2012-11-18 09:11:18+01:00,prepareBreakfast,81,Fluxicon Disco
208,eatingBreakfast,start,2012-11-18 09:14:33+01:00,eatingBreakfast,81,Fluxicon Disco
209,eatingBreakfast,complete,2012-11-18 09:21:10+01:00,eatingBreakfast,81,Fluxicon Disco
210,shower,start,2012-11-18 09:22:11+01:00,shower,81,Fluxicon Disco
211,shower,complete,2012-11-18 09:29:48+01:00,shower,81,Fluxicon Disco
212,washing,start,2012-11-18 09:30:21+01:00,washing,81,Fluxicon Disco
213,washing,complete,2012-11-18 09:44:55+01:00,washing,81,Fluxicon Disco
214,grooming,start,2012-11-18 09:47:31+01:00,grooming,81,Fluxicon Disco
215,grooming,complete,2012-11-18 09:53:35+01:00,grooming,81,Fluxicon Disco
216,outdoors,start,2012-11-18 09:59:28+01:00,outdoors,81,Fluxicon Disco
217,outdoors,complete,2012-11-18 10:33:24+01:00,outdoors,81,Fluxicon Disco
218,watchingtv,start,2012-11-18 10:36:39+01:00,watchingtv,81,Fluxicon Disco
219,watchingtv,complete,2012-11-18 10:49:01+01:00,watchingtv,81,Fluxicon Disco
220,outdoors,start,2012-11-18 10:53:04+01:00,outdoors,81,Fluxicon Disco
221,outdoors,complete,2012-11-18 14:49:57+01:00,outdoors,81,Fluxicon Disco
222,prepareLunch,start,2012-11-18 14:50:05+01:00,prepareLunch,81,Fluxicon Disco
223,eatingLunch,start,2012-11-18 14:55:05+01:00,eatingLunch,81,Fluxicon Disco
224,prepareLunch,complete,2012-11-18 16:54:05+01:00,prepareLunch,81,Fluxicon Disco
225,eatingLunch,complete,2012-11-18 17:10:05+01:00,eatingLunch,81,Fluxicon Disco
226,snack,start,2012-11-18 17:14:29+01:00,snack,81,Fluxicon Disco
227,snack,complete,2012-11-18 17:20:07+01:00,snack,81,Fluxicon Disco
228,toilet,start,2012-11-18 17:25:55+01:00,toilet,81,Fluxicon Disco
229,washing,start,2012-11-18 17:26:16+01:00,washing,81,Fluxicon Disco
230,toilet,complete,2012-11-18 17:27:00+01:00,toilet,81,Fluxicon Disco
231,washing,complete,2012-11-18 17:30:51+01:00,washing,81,Fluxicon Disco
232,grooming,start,2012-11-18 17:31:01+01:00,grooming,81,Fluxicon Disco
233,grooming,complete,2012-11-18 17:44:29+01:00,grooming,81,Fluxicon Disco
234,washing,start,2012-11-18 17:44:33+01:00,washing,81,Fluxicon Disco
235,washing,complete,2012-11-18 17:45:19+01:00,washing,81,Fluxicon Disco
236,watchingtv,start,2012-11-18 17:45:33+01:00,watchingtv,81,Fluxicon Disco
237,watchingtv,complete,2012-11-18 19:52:49+01:00,watchingtv,81,Fluxicon Disco
238,outdoors,start,2012-11-18 19:53:25+01:00,outdoors,81,Fluxicon Disco
239,outdoors,complete,2012-11-18 22:23:43+01:00,outdoors,81,Fluxicon Disco
240,eatingDinner,start,2012-11-18 22:24:01+01:00,eatingDinner,81,Fluxicon Disco
241,eatingDinner,complete,2012-11-18 22:29:09+01:00,eatingDinner,81,Fluxicon Disco
242,washing,start,2012-11-18 22:30:32+01:00,washing,81,Fluxicon Disco
243,washing,complete,2012-11-18 22:42:51+01:00,washing,81,Fluxicon Disco
