,case,event,time:timestamp,watchingtv,role,case:creator
244,watchingtv,start,2012-11-18 22:43:37+01:00,watchingtv,81,Fluxicon Disco
245,watchingtv,complete,2012-11-18 22:43:40+01:00,watchingtv,81,Fluxicon Disco
246,snack,start,2012-11-18 23:00:21+01:00,snack,81,Fluxicon Disco
247,snack,complete,2012-11-18 23:02:55+01:00,snack,81,Fluxicon Disco
248,grooming,start,2012-11-18 23:03:09+01:00,grooming,81,Fluxicon Disco
249,grooming,complete,2012-11-18 23:03:11+01:00,grooming,81,Fluxicon Disco
250,washing,start,2012-11-18 23:03:16+01:00,washing,81,Fluxicon Disco
251,washing,complete,2012-11-18 23:03:18+01:00,washing,81,Fluxicon Disco
252,grooming,start,2012-11-18 23:03:23+01:00,grooming,81,Fluxicon Disco
253,grooming,complete,2012-11-18 23:04:42+01:00,grooming,81,Fluxicon Disco
254,watchingtv,start,2012-11-18 23:05:14+01:00,watchingtv,81,Fluxicon Disco
255,watchingtv,complete,2012-11-19 00:10:09+01:00,watchingtv,81,Fluxicon Disco
256,End,start,2012-11-19 00:10:09+01:00,End,81,Fluxicon Disco
257,End,complete,2012-11-19 00:10:09+01:00,End,81,Fluxicon Disco
258,Start,start,2012-11-24 00:27:03+01:00,Start,141,Fluxicon Disco
259,Start,complete,2012-11-24 00:27:03+01:00,Start,141,Fluxicon Disco
260,grooming,start,2012-11-24 00:27:03+01:00,grooming,141,Fluxicon Disco
261,grooming,complete,2012-11-24 00:27:05+01:00,grooming,141,Fluxicon Disco
262,washing,start,2012-11-24 00:27:55+01:00,washing,141,Fluxicon Disco
263,washing,complete,2012-11-24 00:32:40+01:00,washing,141,Fluxicon Disco
264,sleeping,start,2012-11-24 00:33:40+01:00,sleeping,141,Fluxicon Disco
265,sleeping,complete,2012-11-24 10:02:43+01:00,sleeping,141,Fluxicon Disco
266,prepareBreakfast,start,2012-11-24 10:04:19+01:00,prepareBreakfast,141,Fluxicon Disco
267,prepareBreakfast,complete,2012-11-24 10:13:23+01:00,prepareBreakfast,141,Fluxicon Disco
268,toilet,start,2012-11-24 10:17:59+01:00,toilet,141,Fluxicon Disco
269,watchingtv,start,2012-11-24 10:19:05+01:00,watchingtv,141,Fluxicon Disco
270,toilet,complete,2012-11-24 10:19:20+01:00,toilet,141,Fluxicon Disco
271,watchingtv,complete,2012-11-24 11:13:02+01:00,watchingtv,141,Fluxicon Disco
272,snack,start,2012-11-24 11:16:16+01:00,snack,141,Fluxicon Disco
273,snack,complete,2012-11-24 11:29:23+01:00,snack,141,Fluxicon Disco
274,shower,start,2012-11-24 11:30:11+01:00,shower,141,Fluxicon Disco
275,shower,complete,2012-11-24 11:38:32+01:00,shower,141,Fluxicon Disco
276,washing,start,2012-11-24 11:39:54+01:00,washing,141,Fluxicon Disco
277,washing,complete,2012-11-24 11:52:27+01:00,washing,141,Fluxicon Disco
278,grooming,start,2012-11-24 11:53:50+01:00,grooming,141,Fluxicon Disco
279,grooming,complete,2012-11-24 11:55:31+01:00,grooming,141,Fluxicon Disco
280,washing,start,2012-11-24 11:59:55+01:00,washing,141,Fluxicon Disco
281,washing,complete,2012-11-24 12:00:10+01:00,washing,141,Fluxicon Disco
282,toilet,start,2012-11-24 12:01:15+01:00,toilet,141,Fluxicon Disco
283,toilet,complete,2012-11-24 12:08:51+01:00,toilet,141,Fluxicon Disco
284,snack,start,2012-11-24 12:09:01+01:00,snack,141,Fluxicon Disco
285,snack,complete,2012-11-24 12:30:55+01:00,snack,141,Fluxicon Disco
286,watchingtv,start,2012-11-24 12:31:07+01:00,watchingtv,141,Fluxicon Disco
287,watchingtv,complete,2012-11-24 13:55:58+01:00,watchingtv,141,Fluxicon Disco
288,grooming,start,2012-11-24 14:32:06+01:00,grooming,141,Fluxicon Disco
289,grooming,complete,2012-11-24 14:32:34+01:00,grooming,141,Fluxicon Disco
290,washing,start,2012-11-24 14:32:38+01:00,washing,141,Fluxicon Disco
291,washing,complete,2012-11-24 14:32:46+01:00,washing,141,Fluxicon Disco
292,grooming,start,2012-11-24 14:35:37+01:00,grooming,141,Fluxicon Disco
293,grooming,complete,2012-11-24 14:35:40+01:00,grooming,141,Fluxicon Disco
294,outdoors,start,2012-11-24 14:36:10+01:00,outdoors,141,Fluxicon Disco
295,outdoors,complete,2012-11-24 15:59:56+01:00,outdoors,141,Fluxicon Disco
296,toilet,start,2012-11-24 16:00:28+01:00,toilet,141,Fluxicon Disco
297,washing,start,2012-11-24 16:00:44+01:00,washing,141,Fluxicon Disco
298,washing,complete,2012-11-24 16:00:46+01:00,washing,141,Fluxicon Disco
299,grooming,start,2012-11-24 16:01:08+01:00,grooming,141,Fluxicon Disco
300,grooming,complete,2012-11-24 16:01:27+01:00,grooming,141,Fluxicon Disco
301,toilet,complete,2012-11-24 16:01:31+01:00,toilet,141,Fluxicon Disco
302,toilet,start,2012-11-24 16:02:20+01:00,toilet,141,Fluxicon Disco
303,washing,start,2012-11-24 16:02:50+01:00,washing,141,Fluxicon Disco
304,washing,complete,2012-11-24 16:03:09+01:00,washing,141,Fluxicon Disco
305,toilet,complete,2012-11-24 16:03:23+01:00,toilet,141,Fluxicon Disco
306,grooming,start,2012-11-24 16:03:25+01:00,grooming,141,Fluxicon Disco
307,grooming,complete,2012-11-24 16:03:28+01:00,grooming,141,Fluxicon Disco
308,watchingtv,start,2012-11-24 16:04:20+01:00,watchingtv,141,Fluxicon Disco
309,watchingtv,complete,2012-11-24 19:56:16+01:00,watchingtv,141,Fluxicon Disco
310,snack,start,2012-11-24 19:58:22+01:00,snack,141,Fluxicon Disco
311,snack,complete,2012-11-24 20:07:59+01:00,snack,141,Fluxicon Disco
312,watchingtv,start,2012-11-24 20:08:09+01:00,watchingtv,141,Fluxicon Disco
313,watchingtv,complete,2012-11-24 22:00:08+01:00,watchingtv,141,Fluxicon Disco
314,toilet,start,2012-11-24 22:01:13+01:00,toilet,141,Fluxicon Disco
315,toilet,complete,2012-11-24 22:01:58+01:00,toilet,141,Fluxicon Disco
316,watchingtv,start,2012-11-24 22:02:10+01:00,watchingtv,141,Fluxicon Disco
317,watchingtv,complete,2012-11-24 22:02:32+01:00,watchingtv,141,Fluxicon Disco
318,eatingDinner,start,2012-11-24 22:15:01+01:00,eatingDinner,141,Fluxicon Disco
319,eatingDinner,complete,2012-11-24 22:18:52+01:00,eatingDinner,141,Fluxicon Disco
320,watchingtv,start,2012-11-24 22:19:00+01:00,watchingtv,141,Fluxicon Disco
321,watchingtv,complete,2012-11-24 22:19:18+01:00,watchingtv,141,Fluxicon Disco
322,snack,start,2012-11-24 23:21:02+01:00,snack,141,Fluxicon Disco
323,snack,complete,2012-11-24 23:21:53+01:00,snack,141,Fluxicon Disco
324,watchingtv,start,2012-11-24 23:23:06+01:00,watchingtv,141,Fluxicon Disco
325,watchingtv,complete,2012-11-25 01:48:15+01:00,watchingtv,141,Fluxicon Disco
326,End,start,2012-11-25 01:48:15+01:00,End,141,Fluxicon Disco
327,End,complete,2012-11-25 01:48:15+01:00,End,141,Fluxicon Disco
328,Start,start,2012-11-25 01:50:18+01:00,Start,151,Fluxicon Disco
329,Start,complete,2012-11-25 01:50:18+01:00,Start,151,Fluxicon Disco
330,sleeping,start,2012-11-25 01:50:18+01:00,sleeping,151,Fluxicon Disco
331,sleeping,complete,2012-11-25 09:24:18+01:00,sleeping,151,Fluxicon Disco
332,toilet,start,2012-11-25 09:29:08+01:00,toilet,151,Fluxicon Disco
333,washing,start,2012-11-25 09:29:19+01:00,washing,151,Fluxicon Disco
334,toilet,complete,2012-11-25 09:30:10+01:00,toilet,151,Fluxicon Disco
335,washing,complete,2012-11-25 09:30:29+01:00,washing,151,Fluxicon Disco
336,grooming,start,2012-11-25 09:31:21+01:00,grooming,151,Fluxicon Disco
337,grooming,complete,2012-11-25 09:38:52+01:00,grooming,151,Fluxicon Disco
338,toilet,start,2012-11-25 09:43:30+01:00,toilet,151,Fluxicon Disco
339,washing,start,2012-11-25 09:44:05+01:00,washing,151,Fluxicon Disco
340,toilet,complete,2012-11-25 09:44:53+01:00,toilet,151,Fluxicon Disco
341,washing,complete,2012-11-25 09:54:25+01:00,washing,151,Fluxicon Disco
342,toilet,start,2012-11-25 09:55:56+01:00,toilet,151,Fluxicon Disco
343,toilet,complete,2012-11-25 10:02:58+01:00,toilet,151,Fluxicon Disco
344,prepareBreakfast,start,2012-11-25 10:03:15+01:00,prepareBreakfast,151,Fluxicon Disco
345,prepareBreakfast,complete,2012-11-25 10:10:28+01:00,prepareBreakfast,151,Fluxicon Disco
346,eatingBreakfast,start,2012-11-25 10:11:15+01:00,eatingBreakfast,151,Fluxicon Disco
347,eatingBreakfast,complete,2012-11-25 10:21:28+01:00,eatingBreakfast,151,Fluxicon Disco
348,watchingtv,start,2012-11-25 10:22:02+01:00,watchingtv,151,Fluxicon Disco
349,watchingtv,complete,2012-11-25 10:42:38+01:00,watchingtv,151,Fluxicon Disco
350,outdoors,start,2012-11-25 10:44:42+01:00,outdoors,151,Fluxicon Disco
351,outdoors,complete,2012-11-25 13:39:24+01:00,outdoors,151,Fluxicon Disco
352,toilet,start,2012-11-25 13:41:47+01:00,toilet,151,Fluxicon Disco
353,toilet,complete,2012-11-25 13:49:56+01:00,toilet,151,Fluxicon Disco
354,watchingtv,start,2012-11-25 13:50:07+01:00,watchingtv,151,Fluxicon Disco
355,watchingtv,complete,2012-11-25 14:40:52+01:00,watchingtv,151,Fluxicon Disco
356,prepareLunch,start,2012-11-25 14:41:34+01:00,prepareLunch,151,Fluxicon Disco
357,prepareLunch,complete,2012-11-25 15:00:15+01:00,prepareLunch,151,Fluxicon Disco
358,eatingLunch,start,2012-11-25 15:01:22+01:00,eatingLunch,151,Fluxicon Disco
359,eatingLunch,complete,2012-11-25 15:25:07+01:00,eatingLunch,151,Fluxicon Disco
360,snack,start,2012-11-25 15:47:11+01:00,snack,151,Fluxicon Disco
361,snack,complete,2012-11-25 15:57:57+01:00,snack,151,Fluxicon Disco
362,outdoors,start,2012-11-25 15:58:27+01:00,outdoors,151,Fluxicon Disco
363,outdoors,complete,2012-11-25 20:11:36+01:00,outdoors,151,Fluxicon Disco
364,toilet,start,2012-11-25 20:13:37+01:00,toilet,151,Fluxicon Disco
365,toilet,complete,2012-11-25 20:14:47+01:00,toilet,151,Fluxicon Disco
366,watchingtv,start,2012-11-25 20:15:23+01:00,watchingtv,151,Fluxicon Disco
367,watchingtv,complete,2012-11-25 22:10:13+01:00,watchingtv,151,Fluxicon Disco
368,eatingDinner,start,2012-11-25 22:13:30+01:00,eatingDinner,151,Fluxicon Disco
369,eatingDinner,complete,2012-11-25 22:14:01+01:00,eatingDinner,151,Fluxicon Disco
370,watchingtv,start,2012-11-25 22:14:31+01:00,watchingtv,151,Fluxicon Disco
371,watchingtv,complete,2012-11-26 01:29:36+01:00,watchingtv,151,Fluxicon Disco
372,End,start,2012-11-26 01:29:36+01:00,End,151,Fluxicon Disco
373,End,complete,2012-11-26 01:29:36+01:00,End,151,Fluxicon Disco
374,Start,start,2012-12-01 00:10:10+01:00,Start,211,Fluxicon Disco
375,Start,complete,2012-12-01 00:10:10+01:00,Start,211,Fluxicon Disco
376,grooming,start,2012-12-01 00:10:10+01:00,grooming,211,Fluxicon Disco
377,grooming,complete,2012-12-01 00:10:12+01:00,grooming,211,Fluxicon Disco
378,washing,start,2012-12-01 00:10:20+01:00,washing,211,Fluxicon Disco
379,washing,complete,2012-12-01 00:11:26+01:00,washing,211,Fluxicon Disco
380,grooming,start,2012-12-01 00:12:20+01:00,grooming,211,Fluxicon Disco
381,grooming,complete,2012-12-01 00:13:54+01:00,grooming,211,Fluxicon Disco
382,toilet,start,2012-12-01 00:15:14+01:00,toilet,211,Fluxicon Disco
383,toilet,complete,2012-12-01 00:16:11+01:00,toilet,211,Fluxicon Disco
384,washing,start,2012-12-01 00:16:18+01:00,washing,211,Fluxicon Disco
385,washing,complete,2012-12-01 00:16:21+01:00,washing,211,Fluxicon Disco
386,grooming,start,2012-12-01 00:16:59+01:00,grooming,211,Fluxicon Disco
387,grooming,complete,2012-12-01 00:17:36+01:00,grooming,211,Fluxicon Disco
388,sleeping,start,2012-12-01 00:18:00+01:00,sleeping,211,Fluxicon Disco
389,sleeping,complete,2012-12-01 09:40:43+01:00,sleeping,211,Fluxicon Disco
390,toilet,start,2012-12-01 09:46:39+01:00,toilet,211,Fluxicon Disco
391,toilet,complete,2012-12-01 09:48:57+01:00,toilet,211,Fluxicon Disco
392,prepareBreakfast,start,2012-12-01 09:50:13+01:00,prepareBreakfast,211,Fluxicon Disco
393,prepareBreakfast,complete,2012-12-01 10:00:45+01:00,prepareBreakfast,211,Fluxicon Disco
394,eatingBreakfast,start,2012-12-01 10:01:13+01:00,eatingBreakfast,211,Fluxicon Disco
395,eatingBreakfast,complete,2012-12-01 10:33:45+01:00,eatingBreakfast,211,Fluxicon Disco
396,washing,start,2012-12-01 10:34:30+01:00,washing,211,Fluxicon Disco
397,washing,complete,2012-12-01 10:36:56+01:00,washing,211,Fluxicon Disco
398,shower,start,2012-12-01 10:37:12+01:00,shower,211,Fluxicon Disco
399,shower,complete,2012-12-01 10:43:43+01:00,shower,211,Fluxicon Disco
400,washing,start,2012-12-01 10:45:29+01:00,washing,211,Fluxicon Disco
401,washing,complete,2012-12-01 10:48:03+01:00,washing,211,Fluxicon Disco
402,grooming,start,2012-12-01 10:52:51+01:00,grooming,211,Fluxicon Disco
403,grooming,complete,2012-12-01 10:53:15+01:00,grooming,211,Fluxicon Disco
404,washing,start,2012-12-01 10:54:06+01:00,washing,211,Fluxicon Disco
405,washing,complete,2012-12-01 10:54:10+01:00,washing,211,Fluxicon Disco
406,grooming,start,2012-12-01 10:54:36+01:00,grooming,211,Fluxicon Disco
407,grooming,complete,2012-12-01 11:24:40+01:00,grooming,211,Fluxicon Disco
408,snack,start,2012-12-01 11:29:24+01:00,snack,211,Fluxicon Disco
409,snack,complete,2012-12-01 12:15:45+01:00,snack,211,Fluxicon Disco
410,outdoors,start,2012-12-01 12:16:05+01:00,outdoors,211,Fluxicon Disco
411,outdoors,complete,2012-12-01 12:51:36+01:00,outdoors,211,Fluxicon Disco
412,toilet,start,2012-12-01 12:52:11+01:00,toilet,211,Fluxicon Disco
413,toilet,complete,2012-12-01 13:20:19+01:00,toilet,211,Fluxicon Disco
414,prepareLunch,start,2012-12-01 13:21:30+01:00,prepareLunch,211,Fluxicon Disco
415,prepareLunch,complete,2012-12-01 13:37:33+01:00,prepareLunch,211,Fluxicon Disco
416,eatingLunch,start,2012-12-01 14:10:47+01:00,eatingLunch,211,Fluxicon Disco
417,eatingLunch,complete,2012-12-01 15:48:58+01:00,eatingLunch,211,Fluxicon Disco
418,snack,start,2012-12-01 15:49:11+01:00,snack,211,Fluxicon Disco
419,snack,complete,2012-12-01 18:50:28+01:00,snack,211,Fluxicon Disco
420,toilet,start,2012-12-01 18:52:00+01:00,toilet,211,Fluxicon Disco
421,toilet,complete,2012-12-01 18:52:17+01:00,toilet,211,Fluxicon Disco
422,watchingtv,start,2012-12-01 18:53:45+01:00,watchingtv,211,Fluxicon Disco
423,watchingtv,complete,2012-12-01 21:08:17+01:00,watchingtv,211,Fluxicon Disco
424,washing,start,2012-12-01 21:10:04+01:00,washing,211,Fluxicon Disco
425,washing,complete,2012-12-01 21:10:08+01:00,washing,211,Fluxicon Disco
426,grooming,start,2012-12-01 21:11:00+01:00,grooming,211,Fluxicon Disco
427,grooming,complete,2012-12-01 21:19:41+01:00,grooming,211,Fluxicon Disco
428,outdoors,start,2012-12-01 21:20:19+01:00,outdoors,211,Fluxicon Disco
429,outdoors,complete,2012-12-02 01:30:24+01:00,outdoors,211,Fluxicon Disco
430,End,start,2012-12-02 01:30:24+01:00,End,211,Fluxicon Disco
431,End,complete,2012-12-02 01:30:24+01:00,End,211,Fluxicon Disco
432,Start,start,2012-12-02 01:32:33+01:00,Start,221,Fluxicon Disco
433,Start,complete,2012-12-02 01:32:33+01:00,Start,221,Fluxicon Disco
434,washing,start,2012-12-02 01:32:33+01:00,washing,221,Fluxicon Disco
435,washing,complete,2012-12-02 01:33:50+01:00,washing,221,Fluxicon Disco
436,grooming,start,2012-12-02 01:34:02+01:00,grooming,221,Fluxicon Disco
437,grooming,complete,2012-12-02 01:36:45+01:00,grooming,221,Fluxicon Disco
438,toilet,start,2012-12-02 01:38:38+01:00,toilet,221,Fluxicon Disco
439,toilet,complete,2012-12-02 01:39:35+01:00,toilet,221,Fluxicon Disco
440,sleeping,start,2012-12-02 01:41:02+01:00,sleeping,221,Fluxicon Disco
441,sleeping,complete,2012-12-02 09:20:15+01:00,sleeping,221,Fluxicon Disco
442,toilet,start,2012-12-02 09:25:11+01:00,toilet,221,Fluxicon Disco
443,toilet,complete,2012-12-02 09:25:39+01:00,toilet,221,Fluxicon Disco
444,sleeping,start,2012-12-02 10:16:06+01:00,sleeping,221,Fluxicon Disco
445,sleeping,complete,2012-12-02 10:16:09+01:00,sleeping,221,Fluxicon Disco
446,toilet,start,2012-12-02 10:20:06+01:00,toilet,221,Fluxicon Disco
447,toilet,complete,2012-12-02 10:24:39+01:00,toilet,221,Fluxicon Disco
448,prepareBreakfast,start,2012-12-02 10:26:32+01:00,prepareBreakfast,221,Fluxicon Disco
449,eatingBreakfast,start,2012-12-02 10:29:50+01:00,eatingBreakfast,221,Fluxicon Disco
450,prepareBreakfast,complete,2012-12-02 11:29:44+01:00,prepareBreakfast,221,Fluxicon Disco
451,eatingBreakfast,complete,2012-12-02 11:33:44+01:00,eatingBreakfast,221,Fluxicon Disco
452,toilet,start,2012-12-02 11:34:31+01:00,toilet,221,Fluxicon Disco
453,toilet,complete,2012-12-02 11:35:52+01:00,toilet,221,Fluxicon Disco
454,washing,start,2012-12-02 11:35:58+01:00,washing,221,Fluxicon Disco
455,washing,complete,2012-12-02 11:49:33+01:00,washing,221,Fluxicon Disco
456,grooming,start,2012-12-02 11:50:00+01:00,grooming,221,Fluxicon Disco
457,grooming,complete,2012-12-02 11:51:12+01:00,grooming,221,Fluxicon Disco
458,washing,start,2012-12-02 11:53:47+01:00,washing,221,Fluxicon Disco
459,washing,complete,2012-12-02 11:53:59+01:00,washing,221,Fluxicon Disco
460,grooming,start,2012-12-02 11:54:34+01:00,grooming,221,Fluxicon Disco
461,grooming,complete,2012-12-02 12:23:50+01:00,grooming,221,Fluxicon Disco
462,snack,start,2012-12-02 12:24:22+01:00,snack,221,Fluxicon Disco
463,snack,complete,2012-12-02 13:34:05+01:00,snack,221,Fluxicon Disco
464,outdoors,start,2012-12-02 13:37:04+01:00,outdoors,221,Fluxicon Disco
465,outdoors,complete,2012-12-02 14:57:07+01:00,outdoors,221,Fluxicon Disco
466,prepareLunch,start,2012-12-02 15:14:10+01:00,prepareLunch,221,Fluxicon Disco
467,prepareLunch,complete,2012-12-02 15:24:46+01:00,prepareLunch,221,Fluxicon Disco
468,eatingLunch,start,2012-12-02 15:25:10+01:00,eatingLunch,221,Fluxicon Disco
469,eatingLunch,complete,2012-12-02 15:40:46+01:00,eatingLunch,221,Fluxicon Disco
470,snack,start,2012-12-02 16:45:05+01:00,snack,221,Fluxicon Disco
471,snack,complete,2012-12-02 17:07:31+01:00,snack,221,Fluxicon Disco
472,watchingtv,start,2012-12-02 17:10:38+01:00,watchingtv,221,Fluxicon Disco
473,watchingtv,complete,2012-12-02 18:45:10+01:00,watchingtv,221,Fluxicon Disco
474,toilet,start,2012-12-02 18:46:49+01:00,toilet,221,Fluxicon Disco
475,toilet,complete,2012-12-02 19:15:49+01:00,toilet,221,Fluxicon Disco
476,watchingtv,start,2012-12-02 19:16:04+01:00,watchingtv,221,Fluxicon Disco
477,watchingtv,complete,2012-12-02 20:28:51+01:00,watchingtv,221,Fluxicon Disco
478,grooming,start,2012-12-02 20:29:11+01:00,grooming,221,Fluxicon Disco
479,grooming,complete,2012-12-02 20:29:15+01:00,grooming,221,Fluxicon Disco
480,washing,start,2012-12-02 20:29:33+01:00,washing,221,Fluxicon Disco
481,washing,complete,2012-12-02 20:29:37+01:00,washing,221,Fluxicon Disco
482,grooming,start,2012-12-02 20:39:12+01:00,grooming,221,Fluxicon Disco
483,grooming,complete,2012-12-02 20:39:20+01:00,grooming,221,Fluxicon Disco
484,watchingtv,start,2012-12-02 20:41:25+01:00,watchingtv,221,Fluxicon Disco
485,watchingtv,complete,2012-12-03 01:03:12+01:00,watchingtv,221,Fluxicon Disco
486,End,start,2012-12-03 01:03:12+01:00,End,221,Fluxicon Disco
487,End,complete,2012-12-03 01:03:12+01:00,End,221,Fluxicon Disco
